Opened Date,Days Since Start Date,Day of Week,# of Cases
2017-06-27,2002,1,95
2017-06-28,2003,2,83
2017-06-29,2004,3,101
2017-06-30,2005,4,80
2017-07-03,2008,0,71
2017-07-04,2009,1,3
2017-07-05,2010,2,102
2017-07-06,2011,3,107
2017-07-07,2012,4,91
2017-07-10,2015,0,104
2017-07-11,2016,1,76
2017-07-12,2017,2,102
2017-07-13,2018,3,77
2017-07-14,2019,4,110
2017-07-17,2022,0,115
2017-07-18,2023,1,109
2017-07-19,2024,2,133
2017-07-20,2025,3,98
2017-07-21,2026,4,86
2017-07-24,2029,0,114
2017-07-25,2030,1,79
2017-07-26,2031,2,94
2017-07-27,2032,3,97
2017-07-28,2033,4,67
2017-07-31,2036,0,101
2017-08-01,2037,1,118
2017-08-02,2038,2,115
2017-08-03,2039,3,84
2017-08-04,2040,4,85
2017-08-07,2043,0,90
2017-08-08,2044,1,93
2017-08-09,2045,2,92
2017-08-10,2046,3,59
2017-08-11,2047,4,80
2017-08-14,2050,0,104
2017-08-15,2051,1,105
2017-08-16,2052,2,92
2017-08-17,2053,3,89
2017-08-18,2054,4,84
2017-08-21,2057,0,90
2017-08-22,2058,1,95
2017-08-23,2059,2,123
2017-08-24,2060,3,113
2017-08-25,2061,4,91
2017-08-28,2064,0,96
2017-08-29,2065,1,93
2017-08-30,2066,2,86
2017-08-31,2067,3,107
2017-09-01,2068,4,95
2017-09-04,2071,0,6
2017-09-05,2072,1,96
2017-09-06,2073,2,94
2017-09-07,2074,3,121
2017-09-08,2075,4,111
2017-09-11,2078,0,81
2017-09-12,2079,1,78
2017-09-13,2080,2,89
2017-09-14,2081,3,86
2017-09-15,2082,4,93
2017-09-18,2085,0,113
2017-09-19,2086,1,96
2017-09-20,2087,2,104
2017-09-21,2088,3,99
2017-09-22,2089,4,77
2017-09-25,2092,0,120
2017-09-26,2093,1,123
2017-09-27,2094,2,118
2017-09-28,2095,3,107
2017-09-29,2096,4,81
2017-10-02,2099,0,115
2017-10-03,2100,1,114
2017-10-04,2101,2,106
2017-10-05,2102,3,119
2017-10-06,2103,4,110
2017-10-09,2106,0,79
2017-10-10,2107,1,100
2017-10-11,2108,2,100
2017-10-12,2109,3,114
2017-10-13,2110,4,106
2017-10-16,2113,0,122
2017-10-17,2114,1,107
2017-10-18,2115,2,84
2017-10-19,2116,3,102
2017-10-20,2117,4,99
2017-10-23,2120,0,108
2017-10-24,2121,1,114
2017-10-25,2122,2,129
2017-10-26,2123,3,96
2017-10-27,2124,4,75
2017-10-30,2127,0,107
2017-10-31,2128,1,139
2017-11-01,2129,2,120
2017-11-02,2130,3,97
2017-11-03,2131,4,120
2017-11-06,2134,0,134
2017-11-07,2135,1,96
2017-11-08,2136,2,102
2017-11-09,2137,3,105
2017-11-10,2138,4,98
2017-11-13,2141,0,120
2017-11-14,2142,1,117
2017-11-15,2143,2,99
2017-11-16,2144,3,107
2017-11-17,2145,4,103
2017-11-20,2148,0,145
2017-11-21,2149,1,125
2017-11-22,2150,2,108
2017-11-24,2152,4,4
2017-11-27,2155,0,128
2017-11-28,2156,1,126
2017-11-29,2157,2,112
2017-11-30,2158,3,139
2017-12-01,2159,4,108
2017-12-04,2162,0,94
2017-12-05,2163,1,121
2017-12-06,2164,2,107
2017-12-07,2165,3,116
2017-12-08,2166,4,110
2017-12-11,2169,0,112
2017-12-12,2170,1,129
2017-12-13,2171,2,113
2017-12-14,2172,3,86
2017-12-15,2173,4,90
